"","Gemeindekennziffer","Jahr","Bevoelkerung","TS_Arbeitswelt","TS_Einkommen","TS_Bildung","GISD_Score","Name der Gemeinde","Kennziffer Gemeindeverband","Kreiskennziffer","Name des Kreises","Raumordnungsregion Nr","Raumordnungsregion","NUTS2","NUTS2 Name","Name des Gemeindeverbands","Group"
"1",4011000,1998,568006,0.43481963154706,0.547964571179419,0.804699736349301,0.685607352752777,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"2",4011000,1999,568006,0.427559934039021,0.561421909764668,0.757398701062142,0.667714896572668,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"3",4011000,2000,568006,0.412107326755882,0.47167417450352,0.754305468603824,0.620574311651038,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"4",4011000,2001,568006,0.371032956636948,0.386509501235624,0.741654765740981,0.560115102712107,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"5",4011000,2002,568006,0.375638947844614,0.399543817839479,0.704632286384284,0.551677973328679,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"6",4011000,2003,568006,0.389383531553121,0.423752738217483,0.692933786754419,0.563106871739102,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"7",4011000,2004,568006,0.396194471912583,0.42886345593388,0.69445057829386,0.568956677466633,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"8",4011000,2005,568006,0.440609760781545,0.452381539098308,0.660638917271947,0.583809981696077,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"9",4011000,2006,568006,0.41995445783581,0.454083374504977,0.615164507885187,0.55576429381968,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"10",4011000,2007,568006,0.385357848493285,0.49522409665648,0.605357270213351,0.554343843763398,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"11",4011000,2008,568006,0.361519644099993,0.393728672014054,0.573759576633674,0.486031071371899,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"12",4011000,2009,568006,0.373293133155042,0.436972069192879,0.540218941688763,0.49537976124257,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"13",4011000,2010,568006,0.369278497368578,0.4913689328327,0.512694008287622,0.505329624197759,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"14",4011000,2011,568006,0.354202536363308,0.503774957477133,0.52090166176054,0.507740212487856,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"15",4011000,2012,568006,0.349683376656617,0.5141203244996,0.482422674884339,0.493526339432521,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"16",4011000,2013,568006,0.345913213142117,0.520922809946401,0.481257553158825,0.494339138436632,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"17",4011000,2014,568006,0.33793426802592,0.540903826418651,0.474321804061898,0.496544526842093,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"18",4011000,2015,568006,0.332211669199509,0.554002086320433,0.444866514958258,0.486933184894248,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"19",4011000,2016,568006,0.322546179151717,0.560357679982411,0.435864018059511,0.481573555560694,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"20",4011000,2017,568006,0.313825269085795,0.561570210870357,0.452805665993122,0.485679891572345,"Bremen, Stadt","4011000",4011,"Bremen, Stadt","401","Bremen","DE50","Bremen","Bremen, Stadt",4011
"21",4012000,1998,113026,0.505375013374738,0.938646058081841,0.888568827672061,0.922893948938565,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"22",4012000,1999,113026,0.488994239907986,0.939519711586647,0.849547264393341,0.899157415880999,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"23",4012000,2000,113026,0.478937751995903,0.847586987524507,0.813336969889625,0.838998670811461,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"24",4012000,2001,113026,0.451651048935471,0.715159681573194,0.856838797351625,0.788411087816423,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"25",4012000,2002,113026,0.46754260439754,0.772970291759309,0.821462496249851,0.805094475287023,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"26",4012000,2003,113026,0.487279233395406,0.802507887806446,0.828630952194034,0.829664178487893,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"27",4012000,2004,113026,0.495849368242738,0.753679204907803,0.809423646449941,0.803778477228959,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"28",4012000,2005,113026,0.562452542555012,0.827479526947782,0.773516447438218,0.849266093448652,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"29",4012000,2006,113026,0.527067213997832,0.893711153567238,0.765553365710541,0.859227240293008,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"30",4012000,2007,113026,0.496265911356863,0.895784775668444,0.75374713242462,0.841582680984114,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"31",4012000,2008,113026,0.463078809564282,0.874147174473508,0.742308866013585,0.812738170716384,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"32",4012000,2009,113026,0.441328510384634,0.866588612684351,0.736837603862543,0.797598257314537,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
"33",4012000,2010,113026,0.454938421421979,0.838992092675842,0.694752657554855,0.773190106477823,"Bremerhaven, Stadt","4012000",4012,"Bremerhaven, Stadt","303","Bremerhaven","DE50","Bremen","Bremerhaven, Stadt",4012
